Entity ID: light.backyard_lights, State: off
Entity ID: light.ceiling_light, State: off
Entity ID: light.dining_room_lights, State: off
Entity ID: light.kitchen_lights, State: off
Entity ID: light.lounge_lights, State: off
Entity ID: light.sky_floor_lights, State: off
Entity ID: light.office_lights, State: unavailable
Entity ID: light.novas_ceiling_light, State: unavailable
Entity ID: input_boolean.balcony_motion_sensor, State: on
Entity ID: input_boolean.front_porch_cam_motion, State: off
Entity ID: script.turn_off_upstairs_lights, State: off
Entity ID: script.turn_off_all_lights, State: off
Entity ID: script.turn_off_downstairs_lights, State: off
Entity ID: script.turn_on_downstairs_lights, State: off
Entity ID: script.turn_on_upstairs_lights, State: off
Entity ID: light.master_bathroom_light, State: off
Entity ID: light.backyard_outlet_socket_1, State: off
Entity ID: light.backyard_outlet_socket_2, State: off
Entity ID: light.star_lights_outlet, State: off
Entity ID: switch.balcony_motion_sensor, State: on
Entity ID: light.lounge_strip_light, State: on
Entity ID: light.lounge_strip_light_2, State: off
Entity ID: update.sky_entrance_light, State: off
Entity ID: button.sky_entrance_light_identify, State: unknown
Entity ID: light.sky_entrance_light, State: off
Entity ID: number.sky_entrance_light_on_level, State: 255
Entity ID: number.sky_entrance_light_on_transition_time, State: unknown
Entity ID: number.sky_entrance_light_off_transition_time, State: unknown
Entity ID: number.sky_entrance_light_on_off_transition_time, State: 0.0
Entity ID: select.sky_entrance_light_power_on_behavior_on_startup, State: previous
Entity ID: update.backdoor_light_1, State: unknown
Entity ID: button.backdoor_light_1_identify, State: unknown
Entity ID: light.backdoor_light_1, State: off
Entity ID: number.backdoor_light_1_on_level, State: 255
Entity ID: number.backdoor_light_1_on_transition_time, State: unknown
Entity ID: number.backdoor_light_1_off_transition_time, State: unknown
Entity ID: number.backdoor_light_1_on_off_transition_time, State: 0.0
Entity ID: select.backdoor_light_1_power_on_behavior_on_startup, State: previous
Entity ID: update.backdoor_light_2, State: unknown
Entity ID: button.backdoor_light_2_identify, State: unknown
Entity ID: light.backdoor_light_2, State: off
Entity ID: number.backdoor_light_2_on_level, State: 255
Entity ID: number.backdoor_light_2_on_transition_time, State: unknown
Entity ID: number.backdoor_light_2_off_transition_time, State: unknown
Entity ID: number.backdoor_light_2_on_off_transition_time, State: 0.0
Entity ID: select.backdoor_light_2_power_on_behavior_on_startup, State: previous
Entity ID: update.sky_bed_light, State: off
Entity ID: button.sky_bed_light_identify, State: unknown
Entity ID: light.sky_bed_light, State: off
Entity ID: number.sky_bed_light_on_level, State: 255
Entity ID: number.sky_bed_light_on_transition_time, State: unknown
Entity ID: number.sky_bed_light_off_transition_time, State: unknown
Entity ID: number.sky_bed_light_on_off_transition_time, State: 0.0
Entity ID: select.sky_bed_light_power_on_behavior_on_startup, State: previous
Entity ID: update.garage_light_2, State: unavailable
Entity ID: button.garage_light_identify, State: unavailable
Entity ID: number.garage_light_on_level_2, State: unavailable
Entity ID: number.garage_light_on_transition_time_2, State: unavailable
Entity ID: number.garage_light_off_transition_time_2, State: unavailable
Entity ID: number.garage_light_on_off_transition_time_2, State: unavailable
Entity ID: select.garage_light_power_on_behavior_on_startup_2, State: unavailable
Entity ID: update.laundry_room_light, State: unknown
Entity ID: button.laundry_room_light_identify, State: unknown
Entity ID: light.laundry_room_light, State: off
Entity ID: number.laundry_room_light_on_level, State: 255
Entity ID: number.laundry_room_light_on_transition_time, State: unknown
Entity ID: number.laundry_room_light_off_transition_time, State: unknown
Entity ID: number.laundry_room_light_on_off_transition_time, State: 0.0
Entity ID: select.laundry_room_light_power_on_behavior_on_startup, State: previous
Entity ID: update.dressing_room_light, State: unavailable
Entity ID: button.dressing_room_light_identify, State: unavailable
Entity ID: light.dressing_room_light3, State: unavailable
Entity ID: number.dressing_room_light_on_level, State: unavailable
Entity ID: number.dressing_room_light_on_transition_time, State: unavailable
Entity ID: number.dressing_room_light_off_transition_time, State: unavailable
Entity ID: number.dressing_room_light_on_off_transition_time, State: unavailable
Entity ID: select.dressing_room_light_power_on_behavior_on_startup, State: unavailable
Entity ID: light.couch_l2, State: off
Entity ID: light.dressing_room_l3, State: unavailable
Entity ID: light.bathroom_l2, State: unavailable
Entity ID: light.smart_filament_bulb_2, State: unavailable
Entity ID: update.garage_light, State: unavailable
Entity ID: button.garage_light_identify_2, State: unavailable
Entity ID: light.garage_light_2, State: unavailable
Entity ID: number.garage_light_on_level, State: unavailable
Entity ID: number.garage_light_on_transition_time, State: unavailable
Entity ID: number.garage_light_off_transition_time, State: unavailable
Entity ID: number.garage_light_on_off_transition_time, State: unavailable
Entity ID: select.garage_light_power_on_behavior_on_startup, State: unavailable
Entity ID: binary_sensor.aqara_motion_sensor_occupancy, State: off
Entity ID: button.aqara_motion_sensor_identify, State: unknown
Entity ID: sensor.aqara_motion_sensor_battery, State: 100
Entity ID: sensor.aqara_motion_sensor_voltage, State: 3.0
Entity ID: update.front_porch_light, State: off
Entity ID: button.front_porch_light_identify, State: unknown
Entity ID: light.front_porch_light, State: off
Entity ID: number.front_porch_light_on_level, State: 255
Entity ID: number.front_porch_light_on_transition_time, State: unknown
Entity ID: number.front_porch_light_off_transition_time, State: unknown
Entity ID: number.front_porch_light_on_off_transition_time, State: 0.0
Entity ID: select.front_porch_light_power_on_behavior_on_startup, State: previous
Entity ID: light.lounge_lamp_light, State: off
Entity ID: light.essentials_a19_a60, State: on
Entity ID: light.essentials_a19_a60_2, State: on
Entity ID: binary_sensor.davids_android_device_locked, State: on
Entity ID: sensor.davids_android_battery_temperature, State: 17.8
Entity ID: sensor.davids_android_light_sensor, State: 0
Entity ID: light.balcony_cam_floodlight, State: off
Entity ID: light.back_garage_cam_floodlight, State: off
Entity ID: light.driveway_cam_floodlight, State: on
Entity ID: light.garage_cam_floodlight, State: on
Entity ID: sensor.side_door_lock_battery, State: unavailable
Entity ID: sensor.sky_floor_lock_lock_battery, State: 66
Entity ID: button.sky_floor_lock_battery_replaced, State: unknown
Entity ID: sensor.sky_floor_lock_battery_type, State: 4× AA
Entity ID: sensor.sky_floor_lock_battery_last_replaced, State: unknown
Entity ID: sensor.sky_floor_lock_battery_plus, State: 66.0
Entity ID: binary_sensor.sky_floor_lock_battery_plus_low, State: off
Entity ID: switch.balcony_cam_motion_detection, State: on
Entity ID: switch.back_garage_cam_motion_detection, State: on
Entity ID: switch.tesla_pro_cam_motion_detection, State: off
Entity ID: switch.driveway_cam_motion_detection, State: on
Entity ID: switch.garage_cam_motion_detection, State: on
Entity ID: lock.sky_floor_lock, State: unlocked
Entity ID: update.aqara_motion_sensors_update, State: off
